url,category_code,category_description,date_added,source,notes
https://theintercept.com/,NEWS,News Media,2017-08-28,Artigo 19 + CryptoRave + Coding Rights,Jornalismo independente (Mapeamento Artigo 19)
http://thenationalcampaign.org/,XED,Sex Education,2014-04-15,citizenlab,Updated by OONI on 2017-02-14
http://thepiratebay.org/,FILE,File-sharing,2014-04-15,citizenlab,Updated by OONI on 2017-02-14
http://timesofindia.indiatimes.com/,NEWS,News Media,2014-04-15,citizenlab,Updated by OONI on 2017-02-14
https://tinyurl.com/,HOST,Hosting and Blogging Platforms,2014-04-15,citizenlab,Updated by OONI on 2017-02-14
https://tor.eff.org/,ANON,Anonymization and circumvention tools,2014-04-15,citizenlab,Updated by OONI on 2017-02-14
http://torah.org/,REL,Religion,2014-04-15,citizenlab,Updated by OONI on 2017-02-14
https://translate.google.com/,COMT,Communication Tools,2014-04-15,citizenlab,Updated by OONI on 2017-02-14
http://translation2.paralink.com/,COMT,Communication Tools,2014-04-15,citizenlab,Updated by OONI on 2017-02-14
http://translator.babylon-software.com/,COMT,Communication Tools,2014-04-15,citizenlab,Updated by OONI on 2017-02-14
http://transsexual.org/,LGBT,LGBT,2014-04-15,citizenlab,Updated by OONI on 2017-02-14
https://trashy.com/,PROV,Provocative Attire,2014-04-15,citizenlab,Updated by OONI on 2017-02-14
http://triviasecurity.net/,HACK,Hacking Tools,2014-04-15,citizenlab,Updated by OONI on 2017-02-14
https://turbobit.net/,NEWS,News Media,2014-04-15,citizenlab,Updated by OONI on 2017-02-14
http://tvants.uptodown.com/,HACK,Hacking Tools,2014-04-15,citizenlab,Updated by OONI on 2017-02-14
https://twitter.com/,GRP,Social Networking,2014-04-15,citizenlab,Updated by OONI on 2017-02-14
http://ultrasurf.us/,ANON,Anonymization and circumvention tools,2014-04-15,citizenlab,Updated by OONI on 2017-02-14
https://ultrasurf.us/,ANON,Anonymization and circumvention tools,2014-04-15,citizenlab,Updated by OONI on 2017-02-14
https://www.unep.org/,ENV,Environment,2014-04-15,citizenlab,Updated on 2022-02-21
https://unpo.org/,HUMR,Human Rights Issues,2014-04-15,citizenlab,Updated by OONI on 2017-02-14
http://uploaded.to/,FILE,File-sharing,2014-04-15,citizenlab,Updated by OONI on 2017-02-14
https://veracrypt.fr/,ANON,Anonymization and circumvention tools,2014-04-15,citizenlab,Updated on 2022-02-23
http://vho.org/,HATE,Hate Speech,2014-04-15,citizenlab,Updated by OONI on 2017-02-14
https://video.google.com/,MMED,Media sharing,2014-04-15,citizenlab,Updated by OONI on 2017-02-14
https://vimeo.com/,MMED,Media sharing,2014-04-15,citizenlab,Updated by OONI on 2017-02-14
http://weblogs.us/,HOST,Hosting and Blogging Platforms,2014-04-15,citizenlab,Updated by OONI on 2017-02-14
http://wedo.org/,HUMR,Human Rights Issues,2014-04-15,citizenlab,Updated by OONI on 2017-02-14
http://weedfarmer.com/,ALDR,Alcohol & Drugs,2014-04-15,citizenlab,Updated by OONI on 2017-02-14
http://whitehonor.com/,HATE,Hate Speech,2014-04-15,citizenlab,Updated by OONI on 2017-02-14
https://wikileaks.org/,NEWS,News Media,2014-04-15,citizenlab,Updated by OONI on 2017-02-14
https://www.wilpf.org/,HUMR,Human Rights Issues,2014-04-15,citizenlab,Updated on 2022-02-21
https://www.witness.org/,HUMR,Human Rights Issues,2014-04-15,citizenlab,Updated on 2022-02-21
http://wkkf.org/,ECON,Economics,2014-04-15,citizenlab,Updated by OONI on 2017-02-14
http://womeninblack.org/,HUMR,Human Rights Issues,2014-04-15,citizenlab,Updated by OONI on 2017-02-14
https://wordpress.com/,HOST,Hosting and Blogging Platforms,2014-04-15,citizenlab,Updated by OONI on 2017-02-14
https://wordpress.org/,HOST,Hosting and Blogging Platforms,2014-04-15,citizenlab,Updated by OONI on 2017-02-14
http://world.internationalism.org/,POLR,Political Criticism,2014-04-15,citizenlab,Updated by OONI on 2017-02-14
https://worldofwarcraft.com/,GAME,Gaming,2014-04-15,citizenlab,Updated by OONI on 2017-02-14
http://worldsingles.com/,DATE,Online Dating,2014-04-15,citizenlab,Updated by OONI on 2017-02-14
http://wupj.org/,REL,Religion,2014-04-15,citizenlab,Updated by OONI on 2017-02-14
http://wwf.panda.org/,ENV,Environment,2014-04-15,citizenlab,Updated by OONI on 2017-02-14
https://www.100webspace.com/,HOST,Hosting and Blogging Platforms,2014-04-15,citizenlab,Updated by OONI on 2017-02-14
http://www.150m.com/,HOST,Hosting and Blogging Platforms,2014-04-15,citizenlab,Updated by OONI on 2017-02-14
http://www.163.com/,SRCH,Search Engines,2014-04-15,citizenlab,Updated by OONI on 2017-02-14
https://www.1and1.com/,HOST,Hosting and Blogging Platforms,2014-04-15,citizenlab,Updated by OONI on 2017-02-14
http://www.23.org/,HACK,Hacking Tools,2014-04-15,citizenlab,Updated by OONI on 2017-02-14
https://www.2600.com/,HACK,Hacking Tools,2014-04-15,citizenlab,Updated on 2022-02-27
http://www.2ddepot.com/,GAME,Gaming,2014-04-15,citizenlab,Updated by OONI on 2017-02-14
http://www.2shared.com/,FILE,File-sharing,2014-04-15,citizenlab,Updated by OONI on 2017-02-14
https://www.3wishes.com/,PROV,Provocative Attire,2014-04-15,citizenlab,Updated by OONI on 2017-02-14
http://www.43things.com/,GRP,Social Networking,2014-04-15,citizenlab,Updated by OONI on 2017-02-14
http://www.4chan.org/,GRP,Social Networking,2014-04-15,citizenlab,Updated by OONI on 2017-02-14
http://www.4online-gambling.com/,GMB,Gambling,2014-04-15,citizenlab,Updated by OONI on 2017-02-14
http://www.4shared.com/,FILE,File-sharing,2014-04-15,citizenlab,Updated by OONI on 2017-02-14
http://www.888casino.com/,GMB,Gambling,2014-04-15,citizenlab,Updated by OONI on 2017-02-14
http://www.89.com/,PORN,Pornography,2014-04-15,citizenlab,Updated by OONI on 2017-02-14
http://www.911memorial.org/,CULTR,Culture,2014-04-15,citizenlab,Updated by OONI on 2017-02-14
http://www.911truth.org/,CULTR,Culture,2014-04-15,citizenlab,Updated by OONI on 2017-02-14
http://www.abcunderwear.com/,PROV,Provocative Attire,2014-04-15,citizenlab,Updated by OONI on 2017-02-14
http://www.abortionno.org/,HUMR,Human Rights Issues,2014-04-15,citizenlab,Updated by OONI on 2017-02-14
